Year,Month,Initial Ordering BIC8,Initial Ordering BIC8 name,Initial Ordering Country,BIC8,BIC8 name,BIC8 Country,Counterparty BIC8,Counterparty BIC8 name,Counterparty BIC8 Country,End Beneficiary BIC8,End Beneficiary BIC8 name,End Beneficiary Country,Message Type,Currency,Net.USD.Amount,Transactions
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,138,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,2552,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,6602,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOC,,DE,MT103,USD,10960,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,2486,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOC,,DE,MT103,USD,36046,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOC,,ES,MT103,USD,26154,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOC,,DE,MT103,USD,8381,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOC,,NL,MT103,USD,897,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOC,,US,MT103,USD,653891,7
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOC,,US,MT103,USD,8098379,162
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,52623,3
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,29403,4
2015,Jul,BNKCXXYY,,XX,BNKCXXYY,,XX,GLOC,,DE,GLOC,,DE,MT202,USD,2000000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,2739,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOC,,DE,MT103,USD,10000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOC,,DE,MT103,USD,8000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOC,,DE,MT103,USD,409837,8
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOC,,SG,MT103,USD,112910,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOC,,BE,GLOC,,BE,MT700,USD,18971,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOC,,DE,GLOC,,DE,MT103,EUR,151424,8
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOC,,US,GLOC,,US,MT103,USD,457080,38
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,55508,4
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,79464,6
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,2523,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOC,,DE,MT103,USD,3000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOC,,DE,MT103,USD,10772,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,8138,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,653,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,USD,8196,2
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,9411,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,USD,2970,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOC,,US,MT103,USD,91594,2
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOC,,US,GLOC,,US,MT103,USD,87681,13
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,6441,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOB,,US,MT103,USD,19776,3
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,CN,MT103,USD,6430,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,GB,MT103,USD,13050,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,TH,MT103,USD,34298,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,TW,MT103,USD,39853,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,218451,10
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,7166831,569
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,1114,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,118581,12
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,US,MT202,USD,69798158,26
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,45391487,544
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,194885,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOB,,US,MT103,USD,10000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOB,,US,MT103,USD,92133,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOB,,US,GLOB,,GB,MT103,USD,290444,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,8687730,212
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,3142290,26
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,442257,5
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,101400,4
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOB,,US,MT103,USD,6000,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOB,,US,MT103,USD,151934,4
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOB,,US,MT103,USD,116237,7
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOA,,US,GLOB,,US,MT103,USD,87382,3
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOK,,US,GLOB,,US,MT103,USD,53268,4
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,52330,22
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOC,,US,GLOB,,US,MT103,USD,34327,4
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,490000,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOB,,US,MT103,USD,186830,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOK,,US,GLOB,,US,MT103,USD,20000,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOB,,US,MT103,USD,1105631,79
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,CN,GLOA ,,CN,MT700,USD,198629,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,CN,GLOA ,,CN,MT700,USD,75900,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,CN,GLOA ,,CN,MT700,USD,75553,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,CN,GLOA ,,CN,MT700,USD,45904,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,CN,GLOA ,,CN,MT700,USD,30360,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,CN,GLOA,,CN,MT700,USD,5000000,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,10655,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,2512840,378
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,12890,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,39548,7
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,23497932,811
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOA,,US,MT202,USD,4572066,4
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,9135,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOA,,US,MT700,USD,1500000,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOA,,US,MT103,USD,1950,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOA,,US,MT103,USD,2263,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOA,,US,MT103,USD,267,1
2015,Jul,BNKCXXYY,,XX,BNKCXXYY,,XX,GLOC,,DE,GLOA,,US,MT103,USD,10419,3
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,3981115,119
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOA,,US,MT700,USD,1645600,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,326726,42
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,109063,6
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOA,,US,MT700,USD,70246,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,25710,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOA,,US,MT202,USD,14603,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOC,,US,GLOA,,US,MT103,USD,658669,25
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOA,,US,MT103,USD,5687,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOA,,US,MT103,USD,2177590,57
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOG,,CN,MT103,USD,200,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOA,,US,MT103,USD,1063161,10
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOK,,US,GLOA,,US,MT103,USD,33344,3
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,30501,2
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOA,,US,MT103,USD,17186,16
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOC,,US,GLOA,,US,MT103,USD,300,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOC,,US,GLOA,,US,MT103,USD,8549,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOA,,US,GLOA,,US,MT103,USD,782762,29
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOA,,US,MT103,USD,106715,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,BQZZUS33,,US,MT103,USD,275,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,BQZZUS33,,US,MT103,USD,245,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOD,,US,MT103,USD,20915,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOD,,US,MT103,USD,1036,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,BQWWUS44,,US,MT103,USD,26000,1
